Country,Land Area(Km2),Co2-Emissions,CPI,GDP,Population,Latitude,Longitude
Honduras,112090.00,9813.00,150.34,25095395475.00,9746117.00,15.20,-86.24
Hungary,93028.00,45537.00,121.64,160967157504.00,9769949.00,47.16,19.50
Iceland,103000.00,2065.00,129.00,24188035739.00,361313.00,64.96,-19.02
India,3287263.00,2407672.00,180.44,2611000000000.00,1366417754.00,20.59,78.96
Indonesia,1904569.00,563325.00,151.18,1119190780753.00,270203917.00,-0.79,113.92
Iran,1648195.00,661710.00,550.93,445345282123.00,82913906.00,32.43,53.69
Iraq,438317.00,190061.00,119.86,234094042939.00,39309783.00,33.22,43.68
Republic of Ireland,70273.00,37711.00,106.58,388698711348.00,5007069.00,53.41,-8.24
Israel,20770.00,65166.00,108.15,395098666122.00,9053300.00,31.05,34.85
Italy,301340.00,320411.00,110.62,2001244392042.00,60297396.00,41.87,12.57
Jamaica,10991.00,8225.00,162.47,16458071068.00,2948279.00,18.11,-77.30
Japan,377944.00,1135886.00,105.48,5081769542380.00,126226568.00,36.20,138.25
Jordan,89342.00,25108.00,125.60,43743661972.00,10101694.00,30.59,36.24
Kazakhstan,2724900.00,247207.00,182.75,180161741180.00,18513930.00,48.02,66.92
Kenya,580367.00,17910.00,180.51,95503088538.00,52573973.00,-0.02,37.91
Kiribati,811.00,66.00,99.55,194647202.00,117606.00,1.84,-157.38
Kuwait,17818.00,98734.00,126.60,134761198946.00,4207083.00,29.31,47.48
Kyrgyzstan,199951.00,9787.00,155.68,8454619608.00,6456900.00,41.20,74.77
Laos,236800.00,17763.00,135.87,18173839128.00,7169455.00,19.86,102.50
Latvia,64589.00,7004.00,116.86,34117202555.00,1912789.00,56.88,24.60
Lebanon,10400.00,24796.00,130.02,53367042272.00,6855713.00,33.85,35.86
Lesotho,30355.00,2512.00,155.86,2460072444.00,2125268.00,-29.61,28.23
Liberia,111369.00,1386.00,223.13,3070518100.00,4937374.00,6.43,-9.43
Libya,1759540.00,50564.00,125.71,52076250948.00,6777452.00,26.34,17.23
Liechtenstein,160.00,51.00,,6552858739.00,38019.00,47.14,9.52
Lithuania,65300.00,12963.00,118.38,54219315600.00,2786844.00,55.17,23.88
